Time,SM_COSMOS,TA,NETRAD,G,LE,H,RH,TA_dl,NETRAD_dl,G_dl,LE_dl,H_dl,RH_dl,TA_day_mean,TA_day_max,TA_day_min,RH_day,RH_day_min,NETRAD_day,G_day,LE_day,H_day,SM1,P_mm,TS_day_MAX,NDVI,LE_FC
2013-01-01,0.757125,-2.193,49.103,-8.402,1.365,14.468,0.83362,-1.93528571429,72.1372857143,-8.27357142857,7.11314285714,25.7588571429,0.812231428571,-1.37845833333,1.3,-4.84,0.837897083333,0.77118,15.7630833333,-8.4857826087,3.04079166667,8.601875,0.41499875,0.0,3.509,0.431233333333,1.99368327576
2013-01-02,0.632708333333,-7.895,195.077,-17.46,2.12,56.469,0.72878,-5.34028571429,210.096857143,-16.0224285714,22.7952857143,103.126,0.59296,-6.39004166667,-3.11,-9.476,0.661049166667,0.46072,21.789375,-14.1585416667,9.48004166667,27.29675,-3.76925083333,0.0,3.267,0.42820625,3.09641651619
2013-01-03,0.582958333333,-5.47,231.166,-17.855,3.423,52.692,0.6618,-2.65828571429,212.848285714,-15.7944285714,8.75271428571,72.1402857143,0.672612857143,-4.093125,0.08,-7.605,0.6640525,0.50948,30.5591666667,-15.4475,2.25779166667,5.94479166667,0.4127375,0.0,2.72,0.425179166667,4.99954421459
2013-01-04,0.613291666667,-3.203,228.543,-10.827,-12.608,144.74,0.76031,-1.97128571429,249.912857143,-10.2644285714,13.7528571429,140.643428571,0.652185714286,-2.22429166667,-0.275,-3.811,0.717987916667,0.56178,37.076125,-10.070625,3.18325,31.707125,0.411095833333,0.0,2.783,0.422152083333,-18.4149148284
2013-01-05,0.596625,-2.135,192.995,-12.572,-0.403,30.604,0.82717,1.05857142857,185.083,-11.3767142857,11.5167142857,43.6914285714,0.657807142857,-0.573583333333,3.535,-3.488,0.767327083333,0.51977,19.03525,-10.6870833333,3.02333333333,-2.12216666667,0.41080375,0.00416666666667,2.822,0.419125,-0.588611252842
2013-01-06,0.629166666667,0.827,6.584,-7.108,-47.148,-13.506,0.81298,-0.727285714286,41.7811428571,-7.29671428571,0.138142857143,36.6761428571,0.77827,-0.2275,2.32,-2.846,0.78692875,0.73212,-0.9995,-7.80179166667,-1.08925,1.74175,0.410744583333,0.0,2.955,0.416097916667,-68.8631348611
2013-01-07,0.5955,-2.756,268.683,-14.025,13.608,53.402,0.81986,-0.128142857143,279.055571429,-12.3197142857,20.0884285714,87.6704285714,0.694997142857,-1.07141666667,3.169,-4.478,0.745874583333,0.54356,33.4027916667,-11.044875,5.429875,17.0460833333,0.411065833333,0.0,2.847,0.413070833333,19.8754886568
2013-01-08,0.568,0.82,258.023,-11.658,4.105,18.896,0.73134,4.55157142857,252.863142857,-9.69157142857,17.383,99.0141428571,0.601438571429,3.02541666667,8.327,-0.931,0.651106666667,0.46627,25.4724166667,-9.39379166667,3.85758333333,6.85529166667,0.40926875,0.0,2.798,0.41004375,5.99565556555
2013-01-09,0.659833333333,6.869,242.547,-3.903,,,0.9236,8.63814285714,263.776142857,4.52642857143,69.8835,123.9364,0.745311428571,7.419125,10.829,5.064,0.716496666667,0.47376,58.2684166667,-1.94979166667,19.0410434783,11.7645238095,0.412186666667,0.195833333333,3.203,0.407016666667,
2013-01-10,0.497652173913,4.854,65.244,-3.713,5.774,-6.53,0.56946,4.98457142857,66.9475714286,-1.39385714286,8.82542857143,-7.18342857143,0.669242857143,5.28116666667,7.835,2.972,0.750557083333,0.5372,2.346875,-2.80375,2.98625,-15.6805,0.41709125,0.0958333333333,3.277,0.403989583333,8.43335328514
2013-01-11,0.602333333333,12.825,42.438,15.186,-32.627,-30.738,0.92461,13.28,138.677428571,18.7961428571,-10.642,33.7634285714,0.812742857143,12.2496666667,14.534,8.582,0.873990416667,0.70392,24.7473333333,12.83025,-10.9997916667,-8.714,0.432190416667,0.791666666667,6.227,0.4009625,-47.654142299
2013-01-12,0.59175,13.567,194.291,9.257,8.783,45.474,0.94981,15.4024285714,196.556142857,19.7905714286,41.2028571429,69.5168571429,0.833775714286,14.0518333333,17.045,12.012,0.875996666667,0.73127,29.5642083333,13.322125,10.9360434783,7.1569,0.4190825,1.1375,8.491,0.397935416667,12.8282199348
2013-01-13,0.664583333333,3.699,27.742,-6.521,,,0.95596,2.86628571429,22.2498571429,-8.64042857143,-1.2175,,0.953548571429,4.14683333333,17.927,-4.093,0.941402916667,0.81772,5.05295833333,-3.845375,-24.333,-96.976,0.464342916667,1.57083333333,9.511,0.394908333333,
2013-01-14,0.475916666667,-6.931,189.179,-21.549,,,0.78236,-5.79328571429,174.069285714,-19.1397142857,-13.174,,0.74435,-5.548125,-4.34,-7.353,0.779487083333,0.69004,41.0726666667,-18.68725,-2.52725,-19.5876666667,0.430590833333,0.0,5.848,0.39188125,
2013-01-15,0.491,-4.903,255.113,-19.444,6.813,26.694,0.77292,-3.14657142857,223.446714286,-16.8894285714,8.87757142857,64.9714285714,0.715584285714,-3.986,-1.49,-6.701,0.766040833333,0.66439,34.2642916667,-16.9207916667,2.13391666667,12.577625,0.416354166667,0.0,3.622,0.388854166667,9.95088949284
